[WAR][HORA: 01:01:00][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'A')]
[WAR][HORA: 01:01:01][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '02', 'A')]
[WAR][HORA: 01:01:01][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '03', 'A')]
[WAR][HORA: 01:01:01][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '04', 'A')]
[WAR][HORA: 01:01:01][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'A')]
[WAR][HORA: 01:01:01][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'A')]
[WAR][HORA: 01:01:01][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'A')]
[WAR][HORA: 01:01:02][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'A')]
[WAR][HORA: 01:01:02][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'A')]
[WAR][HORA: 01:01:02][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'A')]
[WAR][HORA: 01:01:02][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, 'Laboratorio De Hardware', 'A')]
[WAR][HORA: 01:01:02][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, 'Laboratorio De Software', 'A')]
[WAR][HORA: 01:01:03][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'B')]
